Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
РезКапитал		П000100323006	А	N		12	Н					Резервный капитал
НераспПриб		П000100323007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
ИзмРезервКап			С				Н					Изменение резервного капитала
РезКапитал		П000100324006	А	N		12	Н					Резервный капитал
НераспПриб		П000100324007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
ВПокДвижКап			С				НМ					Вписываемые показатели (по движению капитала за год)
НаимПок			А	T	1	255	О					Наименование показателя
УстКапитал			А	N		12	О					Уставный капитал
СобВыкупАкц			А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал			А	N		12	Н					Добавочный капитал
РезКапитал			А	N		12	Н					Резервный капитал
НераспПриб			А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог			А	N		12	О					Итого
Кап31дек			С				О					Величина капитала на 31 декабря
УстКапитал		П000100320003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100320004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100320005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100320006	А	N		12	Н					Резервный капитал
НераспПриб		П000100320007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100320008	А	N		12	О					Итого
ОтчетГод			С				О					Отчетный год
УвеличКапитал			С				Н					Увеличение капитала
УвеличКапВс			С				Н					Увеличение капитала - всего
УстКапитал		П000100331003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100331004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100331005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100331006	А	N		12	Н					Резервный капитал
НераспПриб		П000100331007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100331008	А	N		12	О					Итого
ЧистПриб			С				Н					Чистая прибыль
НераспПриб		П000100331107	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100331108	А	N		12	О					Итого
ПереоцИмущ			С				Н					Переоценка имущества
ДобКапитал		П000100331205	А	N		12	Н					Добавочный капитал
НераспПриб		П000100331207	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100331208	А	N		12	О					Итого
ДохУвелКап			С				Н					Доходы, относящиеся непосредственно на увеличение капитала
ДобКапитал		П000100331305	А	N		12	Н					Добавочный капитал
НераспПриб		П000100331307	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100331308	А	N		12	О					Итого
ДопВыпАкций			С				Н					Дополнительный выпуск акций
УстКапитал		П000100331403	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100331404	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100331405	А	N		12	Н					Добавочный капитал
Итог		П000100331408	А	N		12	О					Итого
УвеличНомАкц			С				Н					Увеличение номинальной стоимости акций
УстКапитал		П000100331503	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100331504	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100331505	А	N		12	Н					Добавочный капитал
НераспПриб		П000100331507	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Реорганизация			С				Н					Реорганизация юридического лица
УстКапитал		П000100331603	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100331604	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100331605	А	N		12	Н					Добавочный капитал
РезКапитал		П000100331606	А	N		12	Н					Резервный капитал
НераспПриб		П000100331607	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100331608	А	N		12	О					Итого
ВПокУвелКап			С				НМ					Вписываемые показатели (по увеличению капитала)
НаимПок			А	T	1	255	О					Наименование показателя
УстКапитал			А	N		12	О					Уставный капитал
СобВыкупАкц			А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал			А	N		12	Н					Добавочный капитал
РезКапитал			А	N		12	Н					Резервный капитал
НераспПриб			А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог			А	N		12	О					Итого
УменКапитал			С				Н					Уменьшение капитала
УменКапВс			С				Н					Уменьшение капитала - всего
УстКапитал		П000100332003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100332004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100332005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100332006	А	N		12	Н					Резервный капитал
НераспПриб		П000100332007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332008	А	N		12	О					Итого
Убыток			С				Н					Убыток
НераспПриб		П000100332107	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332108	А	N		12	О					Итого
ПереоцИмущ			С				Н					Переоценка имущества
ДобКапитал		П000100332205	А	N		12	Н					Добавочный капитал
НераспПриб		П000100332207	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332208	А	N		12	О					Итого
РасхУменКап			С				Н					Расходы, относящиеся непосредственно на уменьшение капитала
ДобКапитал		П000100332305	А	N		12	Н					Добавочный капитал
НераспПриб		П000100332307	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332308	А	N		12	О					Итого
УменНомАкц			С				Н					Уменьшение номинальной стоимости акций
УстКапитал		П000100332403	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100332404	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100332405	А	N		12	Н					Добавочный капитал
НераспПриб		П000100332407	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332408	А	N		12	О					Итого
УменКолАкций			С				Н					Уменьшение количества акций
УстКапитал		П000100332503	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100332504	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100332505	А	N		12	Н					Добавочный капитал
НераспПриб		П000100332507	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332508	А	N		12	О					Итого
Реорганизация			С				Н					Реорганизация юридического лица
УстКапитал		П000100332603	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100332604	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100332605	А	N		12	Н					Добавочный капитал
РезКапитал		П000100332606	А	N		12	Н					Резервный капитал
НераспПриб		П000100332607	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332608	А	N		12	О					Итого
Дивиденды			С				Н					Дивиденды
НераспПриб		П000100332707	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100332708	А	N		12	О					Итого
ИзмДобавКап			С				Н					Изменение добавочного капитала
ДобКапитал		П000100333005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100333006	А	N		12	Н					Резервный капитал
НераспПриб		П000100333007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
ИзмРезервКап			С				Н					Изменение резервного капитала
РезКапитал		П000100334006	А	N		12	Н					Резервный капитал
НераспПриб		П000100334007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
ВПокДвижКап			С				НМ					Вписываемые показатели (по движению капитала за год)
НаимПок			А	T	1	255	О					Наименование показателя
УстКапитал			А	N		12	О					Уставный капитал
СобВыкупАкц			А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал			А	N		12	Н					Добавочный капитал
РезКапитал			А	N		12	Н					Резервный капитал
НераспПриб			А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог			А	N		12	О					Итого
Кап31дек			С				О					Величина капитала на 31 декабря
УстКапитал		П000100330003	А	N		12	О					Уставный капитал
СобВыкупАкц		П000100330004	А	N		12	Н					Собственные акции, выкупленные у акционеров
ДобКапитал		П000100330005	А	N		12	Н					Добавочный капитал
РезКапитал		П000100330006	А	N		12	Н					Резервный капитал
НераспПриб		П000100330007	А	N		12	Н					Нераспределенная прибыль (непокрытый убыток)
Итог		П000100330008	А	N		12	О					Итого
Коррект			С				Н					Корректировки в связи с изменением учетной политики и исправлением ошибок
КапитВс			С				О					Капитал - всего
ДоКоррект			С				О					До корректировок
На31ДекПрПред		П000100340003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100340004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100340005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100340006	А	N		12	О					На 31 декабря предыдущего года
КорИзмУчПол			С				Н					Корректировка в связи с изменением учетной политики
На31ДекПрПред		П000100341003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100341004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100341005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100341006	А	N		12	О					На 31 декабря предыдущего года
КорИспрОш			С				Н					Корректировка в связи с исправлением ошибок
На31ДекПрПред		П000100342003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100342004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100342005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100342006	А	N		12	О					На 31 декабря предыдущего года
ПослеКоррект			С				О					После корректировок
На31ДекПрПред		П000100350003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100350004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100350005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100350006	А	N		12	О					На 31 декабря предыдущего года
НераспПриб			С				Н					Нераспределенная прибыль (непокрытый убыток)
ДоКоррект			С				О					До корректировок
На31ДекПрПред		П000100340103	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100340104	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100340105	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100340106	А	N		12	О					На 31 декабря предыдущего года
КорИзмУчПол			С				Н					Корректировка в связи с изменением учетной политики
На31ДекПрПред		П000100341103	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100341104	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100341105	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100341106	А	N		12	О					На 31 декабря предыдущего года
КорИспрОш			С				Н					Корректировка в связи с исправлением ошибок
На31ДекПрПред		П000100342103	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100342104	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100342105	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100342106	А	N		12	О					На 31 декабря предыдущего года
ПослеКоррект			С				О					После корректировок
На31ДекПрПред		П000100350103	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П000100350104	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П000100350105	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П000100350106	А	N		12	О					На 31 декабря предыдущего года
ДрСтатКап			С				НМ		+			По другим статьям капитала
ДоКоррект			С				О					До корректировок
На31ДекПрПред		П100100340003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П100100340004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П100100340005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П100100340006	А	N		12	О					На 31 декабря предыдущего года
КорИзмУчПол			С				Н					Корректировка в связи с изменением учетной политики
На31ДекПрПред		П100100341003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П100100341004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П100100341005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П100100341006	А	N		12	О					На 31 декабря предыдущего года
КорИспрОш			С				Н					Корректировка в связи с исправлением ошибок
На31ДекПрПред		П100100342003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П100100342004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П100100342005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П100100342006	А	N		12	О					На 31 декабря предыдущего года
ПослеКоррект			С				О					После корректировок
На31ДекПрПред		П100100350003	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ИзмКапЧистПр		П100100350004	А	N		12	О					Изменения капитала за предыдущий год за счет чистой прибыли (убытка)
ИзмКапИнФакт		П100100350005	А	N		12	О					Изменения капитала за предыдущий год за счет иных факторов
На31ДекПред		П100100350006	А	N		12	О					На 31 декабря предыдущего года
ЧистАктив			С				Н					Чистые активы
На31ДекОтч		П000100360003	А	N		12	О					На 31 декабря отчетного года
На31ДекПред		П000100360004	А	N		12	О					На 31 декабря предыдущего года
На31ДекПрПред		П000100360005	А	N		12	Н					На 31 декабря, года, предшествующего предыдущему
ДвижениеДен	ОДДС		С				О			&ВключитьОДДС		Отчет о движении денежных средств
ОКУД			А	T	7	7	О				0710004	Код формы по ОКУД
ТекОпер			С				Н					Денежные потоки от текущих операций
СальдоТек			С				О					Сальдо денежных потоков от текущих операций
СумОтч		П000100410003	А	N		12	О					За отчетный год
СумПред		П000100410004	А	N		12	Н					За  аналогичный период предыдущего года
Поступ			С				Н					Поступления
СумОтч		П000100411003	А	N		12	О					Всего - за отчетный год
СумПред		П000100411004	А	N		12	Н					Всего - за аналогичный период предыдущего года
ПродПТРУ			С				Н					От продажи продукции, товаров, работ и услуг
СумОтч		П000100411103	А	N		12	О					За отчетный год
СумПред		П000100411104	А	N		12	Н					За  аналогичный период предыдущего года
АрЛицИнПлат			С				Н					Арендных платежей, лицензионных платежей, роялти, комиссионных и иных аналогичных платежей
СумОтч		П000100411203	А	N		12	О					За отчетный год
СумПред		П000100411204	А	N		12	Н					За  аналогичный период предыдущего года
ПродФинВлож			С				Н					От перепродажи финансовых вложений
СумОтч		П000100411303	А	N		12	О					За отчетный год
СумПред		П000100411304	А	N		12	Н					За  аналогичный период предыдущего года
ВПокТекПост			С				НМ		+			Вписываемые показатели (по поступлениям от денежных потоков от текущих операций)
НаимПок		П100100411001	А	T	1	255	О					Наименование показателя
СумОтч		П100100411003	А	N		12	О					За отчетный год
СумПред		П100100411004	А	N		12	Н					За  аналогичный период предыдущего года
ПрочПоступ			С				Н					Прочие поступления
СумОтч		П000100411903	А	N		12	О					За отчетный год
СумПред		П000100411904	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Платеж			С				Н					Платежи
СумОтч		П000100412003	А	N		12	О					Всего - за отчетный год
СумПред		П000100412004	А	N		12	Н					Всего - за аналогичный период предыдущего года
ПоставСМРУ			С				Н					Поставщикам (подрядчикам) за сырье, материалы, работы, услуги
СумОтч		П000100412103	А	N		12	О					За отчетный год
СумПред		П000100412104	А	N		12	Н					За  аналогичный период предыдущего года
ОплатТрудРаб			С				Н					В связи с оплатой труда работников
СумОтч		П000100412203	А	N		12	О					За отчетный год
СумПред		П000100412204	А	N		12	Н					За  аналогичный период предыдущего года
ПроцДолгОбяз			С				Н					Процентов по долговым обязательствам
СумОтч		П000100412303	А	N		12	О					За отчетный год
СумПред		П000100412304	А	N		12	Н					За  аналогичный период предыдущего года
НалогПриб			С				Н					Налога на прибыль
СумОтч		П000100412403	А	N		12	О					За отчетный год
СумПред		П000100412404	А	N		12	Н					За  аналогичный период предыдущего года
ВПокТекПлат			С				НМ		+			Вписываемые показатели (по платежам денежных потоков от текущих операций)
НаимПок		П100100412001	А	T	1	255	О					Наименование показателя
СумОтч		П100100412003	А	N		12	О					За отчетный год
СумПред		П100100412004	А	N		12	Н					За  аналогичный период предыдущего года
ПрочПлатеж			С				Н					Прочие платежи
СумОтч		П000100412903	А	N		12	О					За отчетный год
СумПред		П000100412904	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
ИнвОпер			С				Н					Денежные потоки от инвестиционных операций
СальдоИнв			С				О					Сальдо денежных потоков от инвестиционных операций
СумОтч		П000100420003	А	N		12	О					За отчетный год
СумПред		П000100420004	А	N		12	Н					За  аналогичный период предыдущего года
Поступ			С				Н					Поступления
СумОтч		П000100421003	А	N		12	О					Всего - за отчетный год
СумПред		П000100421004	А	N		12	Н					Всего - за аналогичный период предыдущего года
ПродВнАктив			С				Н					От продажи внеоборотных активов (кроме финансовых вложений)
СумОтч		П000100421103	А	N		12	О					За отчетный год
СумПред		П000100421104	А	N		12	Н					За  аналогичный период предыдущего года
ПродАкцДр			С				Н					От продажи акций других организаций (долей участия)
СумОтч		П000100421203	А	N		12	О					За отчетный год
СумПред		П000100421204	А	N		12	Н					За  аналогичный период предыдущего года
ВозврЗаймЦБ			С				Н					От возврата предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам)
СумОтч		П000100421303	А	N		12	О					За отчетный год
СумПред		П000100421304	А	N		12	Н					За  аналогичный период предыдущего года
ДивПроц			С				Н					Дивидендов, процентов по долговым финансовым вложениям и аналогичных поступлений от долевого участия в других организациях
СумОтч		П000100421403	А	N		12	О					За отчетный год
СумПред		П000100421404	А	N		12	Н					За  аналогичный период предыдущего года
ВПокИнвПост			С				НМ		+			Вписываемые показатели (по поступлениям от денежных потоков от инвестиционных операций)
НаимПок		П100100421001	А	T	1	255	О					Наименование показателя
СумОтч		П100100421003	А	N		12	О					За отчетный год
СумПред		П100100421004	А	N		12	Н					За  аналогичный период предыдущего года
ПрочПоступ			С				Н					Прочие поступления
СумОтч		П000100421903	А	N		12	О					За отчетный год
СумПред		П000100421904	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Платеж			С				Н					Платежи
СумОтч		П000100422003	А	N		12	О					Всего - за отчетный год
СумПред		П000100422004	А	N		12	Н					Всего - за аналогичный период предыдущего года
ПриобрВнАктив			С				Н					В связи с приобретением, созданием, модернизацией, реконструкцией и подготовкой к использованию внеоборотных активов
СумОтч		П000100422103	А	N		12	О					За отчетный год
СумПред		П000100422104	А	N		12	Н					За  аналогичный период предыдущего года
ПриобрАкцДр			С				Н					В связи с приобретением акций  в других организаций (долей участия )
СумОтч		П000100422203	А	N		12	О					За отчетный год
СумПред		П000100422204	А	N		12	Н					За  аналогичный период предыдущего года
ПриобрДолгЦБ			С				Н					В связи с приобретением долговых ценных бумаг (прав требования денежных средств к другим лицам), предоставление займов другим лицам
СумОтч		П000100422303	А	N		12	О					За отчетный год
СумПред		П000100422304	А	N		12	Н					За  аналогичный период предыдущего года
ПроцДолгОб			С				Н					Процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива
СумОтч		П000100422403	А	N		12	О					За отчетный год
СумПред		П000100422404	А	N		12	Н					За  аналогичный период предыдущего года
ВПокИнвПлат			С				НМ		+			Вписываемые показатели (по платежам денежных потоков от инвестиционных операций)
НаимПок		П100100422001	А	T	1	255	О					Наименование показателя
СумОтч		П100100422003	А	N		12	О					За отчетный год
СумПред		П100100422004	А	N		12	Н					За  аналогичный период предыдущего года
ПрочПлатеж			С				Н					Прочие платежи
СумОтч		П000100422903	А	N		12	О					За отчетный год
СумПред		П000100422904	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
ФинОпер			С				Н					Денежные потоки от финансовых операций
СальдоФин			С				О					Сальдо денежных потоков от финансовых операций
СумОтч		П000100430003	А	N		12	О					За отчетный год
СумПред		П000100430004	А	N		12	Н					За  аналогичный период предыдущего года
Поступ			С				Н					Поступления
СумОтч		П000100431003	А	N		12	О					Всего - за отчетный год
СумПред		П000100431004	А	N		12	Н					Всего - за аналогичный период предыдущего года
КредЗайм			С				Н					Получение кредитов и займов
СумОтч		П000100431103	А	N		12	О					За отчетный год
СумПред		П000100431104	А	N		12	Н					За  аналогичный период предыдущего года
ВкладСоб			С				Н					Денежных вкладов собственников (участников)
СумОтч		П000100431203	А	N		12	О					За отчетный год
СумПред		П000100431204	А	N		12	Н					За  аналогичный период предыдущего года
АкцДол			С				Н					От выпуска акций, увеличения долей участия
СумОтч		П000100431303	А	N		12	О					За отчетный год
СумПред		П000100431304	А	N		12	Н					За  аналогичный период предыдущего года
ОблВексДр			С				Н					От выпуска облигаций, векселей и других долговых ценных бумаг и др.
СумОтч		П000100431403	А	N		12	О					За отчетный год
СумПред		П000100431404	А	N		12	Н					За  аналогичный период предыдущего года
ВПокФинПост			С				НМ		+			Вписываемые показатели (по поступлениям от денежных потоков от финансовых операций)
НаимПок		П100100431001	А	T	1	255	О					Наименование показателя
СумОтч		П100100431003	А	N		12	О					За отчетный год
СумПред		П100100431004	А	N		12	Н					За  аналогичный период предыдущего года
ПрочПоступ			С				Н					Прочие поступления
СумОтч		П000100431903	А	N		12	О					За отчетный год
СумПред		П000100431904	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Платеж			С				Н					Платежи
СумОтч		П000100432003	А	N		12	О					Всего - за отчетный год
СумПред		П000100432004	А	N		12	Н					Всего - за аналогичный период предыдущего года
ВыкупАкц			С				Н					Собственникам (участникам) в связи с выкупом у них акций (долей участия) организаций или их выходом из состава участников
СумОтч		П000100432103	А	N		12	О					За отчетный год
СумПред		П000100432104	А	N		12	Н					За  аналогичный период предыдущего года
УплДивИн			С				Н					На уплату дивидендов и иных платежей по распределению прибыли в пользу собственников (участников)
СумОтч		П000100432203	А	N		12	О					За отчетный год
СумПред		П000100432204	А	N		12	Н					За  аналогичный период предыдущего года
ВыкВексКЗ			С				Н					В связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов
СумОтч		П000100432303	А	N		12	О					За отчетный год
СумПред		П000100432304	А	N		12	Н					За  аналогичный период предыдущего года
ВПокФинПлат			С				НМ		+			Вписываемые показатели (по платежам денежных потоков от финансовых операций)
НаимПок		П100100432001	А	T	1	255	О					Наименование показателя
СумОтч		П100100432003	А	N		12	О					За отчетный год
СумПред		П100100432004	А	N		12	Н					За  аналогичный период предыдущего года
ПрочПлатеж			С				Н					Прочие платежи
СумОтч		П000100432903	А	N		12	О					За отчетный год
СумПред		П000100432904	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
СальдоОтч			С				О					Сальдо денежных потоков за отчетный период
СумОтч		П000100440003	А	N		12	О					За отчетный год
СумПред		П000100440004	А	N		12	Н					За  аналогичный период предыдущего года
ОстНачОтч			С				О					Остаток денежных средств и денежных эквивалентов на начало отчетного периода
СумОтч		П000100445003	А	N		12	О					За отчетный год
СумПред		П000100445004	А	N		12	Н					За  аналогичный период предыдущего года
ОстКонОтч			С				О					Остаток денежных средств и денежных эквивалентов на конец отчетного периода
СумОтч		П000100450003	А	N		12	О					За отчетный год
СумПред		П000100450004	А	N		12	Н					За  аналогичный период предыдущего года
ВлИзмКурс			С				Н					Величина влияния изменений курса иностранной валюты по отношению к рублю
СумОтч		П000100449003	А	N		12	О					За отчетный год
СумПред		П000100449004	А	N		12	Н					За  аналогичный период предыдущего года
ЦелИсп	ОЦИПС		С				О			&ВключитьОЦИПС		Отчет о целевом использовании полученных средств
ОКУД			А	T	7	7	О				0710006	Код формы по ОКУД
ОстатНачОтч			С				О					Остаток средств на начало отчетного года
СумОтч		П000100610004	А	N		12	О					За отчетный год
СумПред		П000100610005	А	N		12	Н					За  аналогичный период предыдущего года
Поступило			С				Н					Поступило средств
СумОтч		П000100620004	А	N		12	О					Всего поступило средств - за отчетный год
СумПред		П000100620005	А	N		12	Н					Всего поступило средств - за аналогичный период предыдущего года
ВступВзнос			С				Н					Вступительные взносы
СумОтч		П000100621004	А	N		12	О					За отчетный год
СумПред		П000100621005	А	N		12	Н					За  аналогичный период предыдущего года
ЧленВзнос			С				Н					Членские взносы
СумОтч		П000100621504	А	N		12	О					За отчетный год
СумПред		П000100621505	А	N		12	Н					За  аналогичный период предыдущего года
ЦелевВзнос			С				Н					Целевые взносы
СумОтч		П000100622004	А	N		12	О					За отчетный год
СумПред		П000100622005	А	N		12	Н					За  аналогичный период предыдущего года
ДобрИмВзнос			С				Н					Добровольные имущественные взносы и пожертвования
СумОтч		П000100623004	А	N		12	О					За отчетный год
СумПред		П000100623005	А	N		12	Н					За  аналогичный период предыдущего года
ПрибПредДеят			С				Н					Прибыль от предпринимательской деятельности организации
СумОтч		П000100624004	А	N		12	О					За отчетный год
СумПред		П000100624005	А	N		12	Н					За  аналогичный период предыдущего года
ВПокПоступ			С				НМ					Вписываемые показатели (по поступлению средств)
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Прочие			С				Н					Прочие
СумОтч		П000100625004	А	N		12	О					За отчетный год
СумПред		П000100625005	А	N		12	Н					За  аналогичный период предыдущего года
ВПокОП			С				НМ					В том числе вписываемые показатели со сведениями по отчетному году и аналогичному периоду предыдущего года
НаимПок			А	T	1	255	О					Наименование показателя
СумОтч			А	N		12	О					За отчетный год
СумПред			А	N		12	Н					За  аналогичный период предыдущего года
Использовано			С				Н					Использовано средств
СумОтч		П000100630004	А	N		12	О					Всего использовано средств - за отчетный год
СумПред		П000100630005	А	N		12	Н					Всего использовано средств - за аналогичный период предыдущего года
РасхЦелМер			С				Н					Расходы на целевые мероприятия
СумОтч		П000100631004	А	N		12	О					За отчетный год
СумПред		П000100631005	А	N		12	Н					За аналогичный период предыдущего года
СоцПом			С				Н					Социальная и благотворительная помощь
СумОтч		П000100631104	А	N		12	О					За отчетный год
СумПред		П000100631105	А	N		12	Н					За  аналогичный период предыдущего года
ПровСемин			С				Н					Проведение конференций, совещаний, семинаров и т.п.
СумОтч		П000100631204	А	N		12	О					За отчетный год
